Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"2,6",285.881,31.801,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"2,7",290.519,31.8007,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"3,4",284.166,31.848,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"3,5",284.536,31.848,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"3,6",286.609,31.8457,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"3,7",291.546,31.8452,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"4,5",285.042,31.8531,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"4,6",288.363,31.8509,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"4,7",292.5,31.8504,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"5,6",287.621,31.8471,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"5,7",298.767,31.8466,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"6,7",295.372,31.8675,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,2,3",414.963,31.467,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,2,4",415.046,31.467,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,2,5",414.914,31.467,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,2,6",417.342,31.4661,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,2,7",420.854,31.4662,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,3,4",415.608,31.4714,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,3,5",416.085,31.4714,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,3,6",419.518,31.4701,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,3,7",423.133,31.4706,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,4,5",416.388,31.4713,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,4,6",418.051,31.47,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,4,7",422.984,31.4705,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,5,6",418.943,31.47,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,5,7",422.84,31.4705,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"1,6,7",425.582,31.4705,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"2,3,4",424.672,31.8016,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,3,"2,3,5",424.84,31.8016,"0,3,5,1,2,4,6"
