Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,3,7",1311.7,32.1587,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,4,5",1250.368,31.9921,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,4,6",1264.176,32.1136,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,4,7",1313.698,32.1543,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,5,6",1269.704,32.1089,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,5,7",1315.358,32.1488,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,6,7",1328.94,32.1598,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"2,3,4",1246.953,32.115,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"2,3,5",1251.291,32.1309,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"2,3,6",1260.713,32.2567,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"2,3,7",1313.239,32.2988,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"2,4,5",1250.689,32.1282,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"2,4,6",1268.127,32.2529,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"2,4,7",1313.425,32.2949,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"2,5,6",1270.938,32.2496,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"2,5,7",1330.847,32.2909,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"2,6,7",1330.543,32.3056,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"3,4,5",1452.413,32.4159,"6,5,1,2,0,3,4"
