"","Dataset","Frame","Synthesized.View","X.passes","WS.PSNR","CEL","theo_time","p1","p2","p3","V1","V2","V3","V4","V5","V6","V7"
"106","TechnicolorMuseum",50,3,3,26.6385,0.042139306956461,157.537,1,6,7,0,11,13,12,4,1,17
"107","TechnicolorMuseum",50,3,3,27.5275,0.0648776998259011,116.026,2,3,4,0,11,13,12,4,1,17
"108","TechnicolorMuseum",50,3,3,27.6726,0.0660349427661589,116.19,2,3,5,0,11,13,12,4,1,17
"109","TechnicolorMuseum",50,3,3,27.8265,0.0655732897658246,119.355,2,3,6,0,11,13,12,4,1,17
"110","TechnicolorMuseum",50,3,3,28.089,0.0513466677669373,157.537,2,3,7,0,11,13,12,4,1,17
"111","TechnicolorMuseum",50,3,3,27.6726,0.0660349427661589,116.19,2,4,5,0,11,13,12,4,1,17
"112","TechnicolorMuseum",50,3,3,27.8265,0.0655732897658246,119.355,2,4,6,0,11,13,12,4,1,17
"113","TechnicolorMuseum",50,3,3,28.089,0.0513466677669373,157.537,2,4,7,0,11,13,12,4,1,17
"114","TechnicolorMuseum",50,3,3,27.8246,0.0655573708684177,119.355,2,5,6,0,11,13,12,4,1,17
"115","TechnicolorMuseum",50,3,3,28.087,0.0513339723366574,157.537,2,5,7,0,11,13,12,4,1,17
"116","TechnicolorMuseum",50,3,3,28.089,0.0513466677669373,157.537,2,6,7,0,11,13,12,4,1,17
"117","TechnicolorMuseum",50,3,3,27.6921,0.0662027713228333,116.19,3,4,5,0,11,13,12,4,1,17
"118","TechnicolorMuseum",50,3,3,27.8467,0.0657425327803611,119.355,3,4,6,0,11,13,12,4,1,17
"119","TechnicolorMuseum",50,3,3,28.1105,0.0514831436424459,157.537,3,4,7,0,11,13,12,4,1,17
"120","TechnicolorMuseum",50,3,3,27.8448,0.0657266138829542,119.355,3,5,6,0,11,13,12,4,1,17
"121","TechnicolorMuseum",50,3,3,28.1085,0.051470448212166,157.537,3,5,7,0,11,13,12,4,1,17
"122","TechnicolorMuseum",50,3,3,28.1105,0.0514831436424459,157.537,3,6,7,0,11,13,12,4,1,17
"123","TechnicolorMuseum",50,3,3,27.8448,0.0657266138829542,119.355,4,5,6,0,11,13,12,4,1,17
"124","TechnicolorMuseum",50,3,3,28.1085,0.051470448212166,157.537,4,5,7,0,11,13,12,4,1,17
"125","TechnicolorMuseum",50,3,3,28.1105,0.0514831436424459,157.537,4,6,7,0,11,13,12,4,1,17
"126","TechnicolorMuseum",50,3,3,28.1131,0.0514996477018097,157.537,5,6,7,0,11,13,12,4,1,17
"127","TechnicolorMuseum",50,5,1,13.5996,-0.221405839214058,28.908,1,0,0,0,11,1,4,13,17,12
"128","TechnicolorMuseum",50,5,1,22.6194,0.0319287168298004,82.039,2,0,0,0,11,1,4,13,17,12
"129","TechnicolorMuseum",50,5,1,22.5066,0.0292546859317009,85.682,3,0,0,0,11,1,4,13,17,12
"130","TechnicolorMuseum",50,5,1,22.5013,0.0291106093757274,85.924,4,0,0,0,11,1,4,13,17,12
"131","TechnicolorMuseum",50,5,1,22.6033,0.0228097537040769,114.131,5,0,0,0,11,1,4,13,17,12
"132","TechnicolorMuseum",50,5,1,27.4348,0.047976665999858,154.967,6,0,0,0,11,1,4,13,17,12
"133","TechnicolorMuseum",50,5,1,27.4348,0.0479367617475628,155.096,7,0,0,0,11,1,4,13,17,12
"134","TechnicolorMuseum",50,5,2,21.8583,0.0226514218847134,82.039,1,2,0,0,11,1,4,13,17,12
"135","TechnicolorMuseum",50,5,2,21.7658,0.0206087626339254,85.682,1,3,0,0,11,1,4,13,17,12
"136","TechnicolorMuseum",50,5,2,21.7613,0.0204983473767515,85.924,1,4,0,0,11,1,4,13,17,12
"137","TechnicolorMuseum",50,5,2,21.8472,0.0161849103223489,114.131,1,5,0,0,11,1,4,13,17,12
"138","TechnicolorMuseum",50,5,2,25.451,0.0351752308556015,154.967,1,6,0,0,11,1,4,13,17,12
"139","TechnicolorMuseum",50,5,2,25.451,0.0351459741063599,155.096,1,7,0,0,11,1,4,13,17,12
"140","TechnicolorMuseum",50,5,2,22.5236,0.0294530939987395,85.682,2,3,0,0,11,1,4,13,17,12
"141","TechnicolorMuseum",50,5,2,22.5185,0.0293107862762441,85.924,2,4,0,0,11,1,4,13,17,12
"142","TechnicolorMuseum",50,5,2,22.6293,0.0230375620996925,114.131,2,5,0,0,11,1,4,13,17,12
"143","TechnicolorMuseum",50,5,2,27.5341,0.048617447585615,154.967,2,6,0,0,11,1,4,13,17,12
"144","TechnicolorMuseum",50,5,2,27.5341,0.0485770103677722,155.096,2,7,0,0,11,1,4,13,17,12
"145","TechnicolorMuseum",50,5,2,22.5038,0.0291397048554536,85.924,3,4,0,0,11,1,4,13,17,12
"146","TechnicolorMuseum",50,5,2,22.6142,0.022905257993008,114.131,3,5,0,0,11,1,4,13,17,12
"147","TechnicolorMuseum",50,5,2,27.4685,0.048194131653836,154.967,3,6,0,0,11,1,4,13,17,12
